SITE_ID,SITE_NAME,COUNTRY,LOCATION_LAT,LOCATION_LONG
AR-BAL,Balcarce BA,Argentina,-37.7596,-58.3024
AR-CCA,Carlos Casares agriculture,Argentina,-35.6210,-61.3181
AR-CCG,Carlos Casares grassland,Argentina,-35.9244,-61.1855
AR-CEL,CELPA Mar Chiquita BA,Argentina,-37.7028,-57.4192
AR-ROM,Romano Mar Chiquita BA,Argentina,-37.5508,-57.2972
AR-TF1,Rio Moat bog,Argentina,-54.9733,-66.7335
AR-TF2,Rio Pipo bog,Argentina,-54.8269,-68.4549
BR-BNT,BIONTE,Brazil,-2.6334,-60.1505
BR-CAX,"CAX, FLONA Caxiuanã micromet tower",Brazil,-1.7185,-51.4583
BR-CMT,Capuaba farm Mato Grosso,Brazil,-13.2875,-56.0882
BR-CST,Caatinga Serra Talhada,Brazil,-7.9682,-38.3842
BR-CUI,Micrometeorological studies project in Amazonian mangroves,Brazil,-0.6661,-47.2833
BR-CUP,Cupari Tapajos National Forest,Brazil,-3.7874,-55.3664
BR-IAB,Instituto Arruda Botelho - Wooded Cerrado and Mixed Agriculture,Brazil,-22.1710,-47.8710
BR-ITA,MataFLUX: Multi-species tree restoration planting,Brazil,-23.0604,-48.6467
BR-JI1,Fazenda Nossa Senhora (FNS),Brazil,-10.7618,-62.3572
BR-JI3,Ji-Paraná/RO - Reserva Biológica do Jaru (RBJ),Brazil,-10.1866,-61.8725
BR-MA2,Manaus - ZF2 K34,Brazil,-2.6091,-60.2093
BR-MA3,"ZF3, Colosso farm",Brazil,-2.3907,-59.8835
BR-MOJ,"Moju/PA, Commercial oil palm plantation",Brazil,-1.9787,-48.6147
BR-NPW,Northern Pantanal Wetland,Brazil,-16.4980,-56.4120
BR-PRS,Paraíso do Sul,Brazil,-29.7440,-53.1503
BR-SA1,Santarem-Km67-Primary Forest,Brazil,-2.8567,-54.9589
BR-SA3,Santarem-Km83-Logged Forest,Brazil,-3.0180,-54.9714
BR-SGC,"São Gabriel da Cachoeira (Balaio Indigenous Reserve, Pico da Neblina National Park)",Brazil,0.2101,-66.7529
BR-SM1,Cachoeira do Sul Rice Paddy,Brazil,-30.2771,-53.1479
BR-SM2,Pedras Altas Grassland,Brazil,-31.7259,-53.5339
BR-SM3,Santa Maria Grassland,Brazil,-29.7243,-53.7600
BR-SP1,Southern Pantanal Wetland,Brazil,-19.5650,-57.0180
BR-XPW,XomanoFlux,Brazil,-16.3730,-56.4610
CA-AF1,Acadia Research Forest,Canada,46.0092,-66.3627
CA-ARB,Attawapiskat River Bog,Canada,52.6950,-83.9452
CA-ARF,Attawapiskat River Fen,Canada,52.7008,-83.9550
CA-BCW,Big Creek Watershed,Canada,42.6206,-80.5516
CA-BOU,Bouleau Peatland,Canada,50.5244,-63.2064
CA-BSM,Black Spruce Moss Forest,Canada,50.9021,-63.4052
CA-CA1,British Columbia - 1949 Douglas-fir stand,Canada,49.8673,-125.3336
CA-CA2,British Columbia - Clearcut Douglas-fir stand (harvested winter 1999/2000),Canada,49.8705,-125.2909
CA-CA3,British Columbia - Pole sapling Douglas-fir stand,Canada,49.5346,-124.9004
CA-CBO,"Ontario - Mixed Deciduous, Borden Forest Site",Canada,44.3184,-79.9341
CA-CF1,Churchill Fen Site 1,Canada,58.6658,-93.8300
CA-CF2,Churchill Fen Site 2,Canada,58.6658,-93.8300
CA-CF3,Churchill Fen Site 3,Canada,58.6658,-93.8304
CA-CHA,New Brunswick - Charlie Lake site 01 (immature balsam fir forest to be thinned in year 3),Canada,45.8847,-67.3569
CA-CQ1,Québec. Carbonique1 - Lac Saint-Pierre Disturbed Marsh,Canada,46.1645,-72.6850
CA-CRB,Carberry,Canada,49.9061,-99.3480
CA-DB2,Delta Burns Bog 2,Canada,49.1190,-122.9951
CA-DBB,Delta Burns Bog,Canada,49.1293,-122.9849
CA-DL1,Daring Lake - Mixed Tundra,Canada,64.8689,-111.5748
CA-DL2,Daring Lake - Fen,Canada,64.8648,-111.5677
CA-DSM,Delta Salt Marsh,Canada,49.0887,-122.8954
CA-EM1,Newdale Manitoba,Canada,50.3623,-100.2024
CA-EM2,Shoal Lake Manitoba,Canada,50.3706,-100.5339
CA-EM3,Oak Hammock Marsh Manitoba,Canada,50.1738,-97.1231
CA-ER1,Elora Research Station,Canada,43.6405,-80.4123
CA-ER2,Elora Research Station,Canada,43.6419,-80.4140
CA-GL3,Long Point,Canada,42.5487,-80.0165
CA-GRO,"Ontario - Groundhog River, Boreal Mixedwood Forest",Canada,48.2167,-82.1556
CA-HPC,Havikpak Creek,Canada,68.3203,-133.5188
CA-IQT,Iqaluit Tundra,Canada,63.7507,-68.4285
CA-KLP,Kinoje Lake Peatland,Canada,51.5902,-81.7684
CA-KT1,Kenton - Field 1,Canada,50.0220,-100.5713
CA-KT2,Kenton - Field 2,Canada,50.0241,-100.5721
CA-LET,Alberta - Mixed Grass Prairie,Canada,49.7093,-112.9402
CA-LP1,British Columbia - Mountain pine beetle-attacked lodgepole pine stand,Canada,55.1119,-122.8414
CA-LU1,Steen River,Canada,59.5951,-117.2862
CA-LU2,Lutose,Canada,59.4405,-117.2422
CA-LUM,Luther Marsh Wildlife Management Area,Canada,43.9201,-80.4052
CA-MA1,Manitoba Agricultural Site 1,Canada,50.1645,-97.8762
CA-MA2,Manitoba Agricultural Site 2,Canada,50.1710,-97.8762
CA-MA3,Manitoba Agricultural Site 3,Canada,50.1774,-97.8686
CA-MAN,Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area),Canada,55.8796,-98.4808
CA-MER,"Ontario - Eastern Peatland, Mer Bleue",Canada,45.4094,-75.5186
CA-MR3,Mattheis Ranch - E3 South,Canada,50.8671,-111.9045
CA-MR5,Mattheis Ranch - E5 North,Canada,50.9056,-111.8823
CA-MTK,Mittimatalik (Pond Inlet) Tundra,Canada,72.6695,-77.9981
CA-NA1,New Brunswick - 1967 Balsam Fir - Nashwaak Lake Site 01 (Mature balsam fir forest),Canada,46.4722,-67.1000
CA-NS1,UCI-1850 burn site,Canada,55.8792,-98.4839
CA-NS2,UCI-1930 burn site,Canada,55.9058,-98.5247
CA-NS3,UCI-1964 burn site,Canada,55.9117,-98.3822
CA-NS4,UCI-1964 burn site wet,Canada,55.9144,-98.3806
CA-NS5,UCI-1981 burn site,Canada,55.8631,-98.4850
CA-NS6,UCI-1989 burn site,Canada,55.9167,-98.9644
CA-NS7,UCI-1998 burn site,Canada,56.6358,-99.9483
CA-NS8,UCI-2003 burn site,Canada,55.8981,-98.2161
CA-OAS,"Saskatchewan - Western Boreal, Mature Aspen",Canada,53.6289,-106.1978
CA-OBS,"Saskatchewan - Western Boreal, Mature Black Spruce",Canada,53.9872,-105.1178
CA-OJP,"Saskatchewan - Western Boreal, Mature Jack Pine",Canada,53.9163,-104.6920
CA-PB1,Polar Bear 1 - Peat Plateau,Canada,54.9417,-83.4579
CA-PB2,Polar Bear 2 - Fen,Canada,54.9389,-83.4736
CA-QC2,Quebec - 1975 Harvested Black Spruce (HBS75),Canada,49.7598,-74.5711
CA-QCU,"Quebec - Eastern Boreal, Black Spruce/Jack Pine Cutover",Canada,49.2671,-74.0365
CA-QFO,"Quebec - Eastern Boreal, Mature Black Spruce",Canada,49.6925,-74.3421
CA-RBM,Richmond Brackish Marsh,Canada,49.1313,-123.1964
CA-RPN,Robinsons_Natural_Bog_NL,Canada,48.2604,-58.6632
CA-RPP,Robinsons_Peatland_Pasture_NL,Canada,48.2632,-58.6670
CA-RSB,Resolute Bay Polar Desert,Canada,74.7279,-94.8985
CA-SCB,Scotty Creek Bog,Canada,61.3089,-121.2984
CA-SCC,Scotty Creek Landscape,Canada,61.3079,-121.2992
CA-SF1,"Saskatchewan - Western Boreal, forest burned in 1977",Canada,54.4850,-105.8176
CA-SF2,"Saskatchewan - Western Boreal, forest burned in 1989",Canada,54.2539,-105.8775
CA-SF3,"Saskatchewan - Western Boreal, forest burned in 1998",Canada,54.0916,-106.0053
CA-SJ1,"Saskatchewan - Western Boreal, Jack Pine forest harvested in 1994",Canada,53.9080,-104.6560
CA-SJ2,"Saskatchewan - Western Boreal, Jack Pine forest harvested in 2002",Canada,53.9450,-104.6490
CA-SJ3,"Saskatchewan - Western Boreal, Jack Pine forest harvested in 1975 (BOREAS Young Jack Pine)",Canada,53.8758,-104.6453
CA-SMC,Smith Creek,Canada,63.1534,-123.2522
CA-ST1,South Tobacco Creek - Field 1,Canada,49.3373,-98.3652
CA-ST2,South Tobacco Creek - Field 2,Canada,49.3383,-98.3676
CA-TP1,Ontario - Turkey Point 2002 Plantation White Pine,Canada,42.6609,-80.5595
CA-TP2,Ontario - Turkey Point 1989 Plantation White Pine,Canada,42.7744,-80.4588
CA-TP3,Ontario - Turkey Point 1974 Plantation White Pine,Canada,42.7068,-80.3483
CA-TP4,Ontario - Turkey Point 1939 Plantation White Pine,Canada,42.7102,-80.3574
CA-TPA,Ontario Turkey Point Observatory Agricultural Site,Canada,42.6947,-80.3487
CA-TPD,Ontario - Turkey Point Mature Deciduous,Canada,42.6353,-80.5577
CA-TVC,Trail Valley Creek,Canada,68.7462,-133.5017
CA-WP1,"Alberta - Western Peatland - LaBiche River,Black Spruce/Larch Fen",Canada,54.9538,-112.4670
CA-WP2,Alberta - Western Peatland - Poor Fen (Sphagnum moss),Canada,55.5375,-112.3343
CA-WP3,Alberta - Western Peatland - Rich Fen  (Carex),Canada,54.4700,-113.3200
CA-WRF,White River Fen,Canada,48.3513,-85.3571
CL-ACF,Alerce Costero Forest,Chile,-40.1726,-73.4439
CL-FJS,Fray Jorge Shrubland,Chile,-30.6570,-71.6650
CL-OPP,Omora Park Peatland,Chile,-54.9394,-67.6418
CL-SDF,Senda Darwin Forest,Chile,-41.8830,-73.6760
CL-SDP,Senda Darwin Peatland,Chile,-41.8790,-73.6660
CO-GV1,Guatavita Station 1,Colombia,4.9139,-73.7365
CO-GV2,Guatavita Station 2,Colombia,4.9168,-73.7429
CR-DOS,La Selva T2,Costa Rica,10.4322,-84.0106
CR-FSC,Filadelfia sugar cane cropland,Costa Rica,10.4189,-85.4732
CR-LSE,La Selva,Costa Rica,10.4233,-84.0211
CR-NMR,Nicoya melon-rice cropland,Costa Rica,10.0829,-85.4694
CR-SOC,Soltis Center,Costa Rica,10.3827,-84.6210
MX-AOG,Alamos Old-Growth tropical dry forest,Mexico,26.9968,-108.7892
MX-ASF,Alamos Mid-Secondary tropical dry forest,Mexico,27.0046,-108.7795
MX-BRN,Bernal,Mexico,20.7168,-99.9413
MX-CHB,Churi-Buffelgrass savanna,Mexico,28.7117,-110.5497
MX-CHN,Natural subtropical semi-arid shrubland,Mexico,28.6982,-110.5392
MX-CLS,"Coastal Lagoon, Gulf of California",Mexico,27.9541,-110.9726
MX-EMG,El Mogor,Mexico,32.0298,-116.6045
MX-IIT,Instituto de Ingenieria y Tecnologia - UACJ,Mexico,31.7434,-106.4316
MX-ISD,San Isidro,Mexico,25.3004,-101.3924
MX-LPA,La Paz,Mexico,24.1292,-110.4380
MX-OAK,"Encino, North American monsoon oak savanna",Mexico,29.9591,-110.4615
MX-PMM,Puerto Morelos mangrove,Mexico,20.8462,-86.8992
MX-RAY,"Rayon, monsoon subtropical shrubland",Mexico,29.7446,-110.5306
MX-SGT,Sonoran short arid Mangrove,Mexico,29.3408,-112.2796
MX-TES,"Tesopaco, secondary tropical dry forest",Mexico,27.8446,-109.2977
MX-VQS,Vaquerías,Mexico,21.7872,-101.6070
PA-BAR,Barro Colorado Island,Panama,9.1568,-79.8486
PA-BAS,Barro Colorado Island,Panama,9.1565,-79.8482
PE-AMG,Los Amigos,Peru,-12.5598,-70.1018
PE-BRE,El Breo,Peru,-7.1026,-77.1619
PE-PAN,Panguana,Peru,-9.6237,-74.9315
PE-QFR,Quistococha Forest Reserve,Peru,-3.8344,-73.3190
PE-TNR,Tambopata,Peru,-12.8314,-69.2836
PR-XGU,NEON Guanica Forest (GUAN),Puerto Rico,17.9696,-66.8687
PR-XLA,NEON Lajas Experimental Station (LAJA),Puerto Rico,18.0212,-67.0769
US-A03,ARM-AMF3-Oliktok,USA,70.4953,-149.8823
US-A10,ARM-NSA-Barrow,USA,71.3242,-156.6149
US-A12,ARM-SGP-Pawhuska,USA,36.8410,-96.4270
US-A14,ARM-SGP-Lamont,USA,36.6070,-97.4880
US-A20,ARM-BNF-Courtland,USA,34.6538,-87.2927
US-A30,ARM-BNF-Falkville,USA,34.3848,-86.9279
US-A31,ARM-SGP-Anthony,USA,37.1509,-98.3620
US-A32,ARM-SGP Medford hay pasture,USA,36.8193,-97.8198
US-A33,ARM-SGP-Newkirk,USA,36.9255,-97.0817
US-A37,ARM-SGP-Waukomis,USA,36.3106,-97.9280
US-A38,ARM-SGP-Omega,USA,35.8797,-98.1728
US-A39,ARM-SGP-Morrison,USA,36.3776,-96.0690
US-A40,ARM-BNF-Double Springs,USA,34.1788,-87.4539
US-A41,ARM-SGP-Peckham,USA,36.8796,-97.0864
US-A74,ARM SGP milo field,USA,36.8085,-97.5489
US-AAG,Arkansas Grassland,USA,33.1105,-91.6282
US-ABA,Archbold grazed seminative pasture,USA,27.1301,-81.2011
US-ABB,Archbold ungrazed seminative pasture,USA,27.1346,-81.2031
US-ABC,Archbold grazed improved pasture,USA,27.1633,-81.1873
US-ABD,Archbold ungrazed improved pasture,USA,27.1699,-81.2152
US-ABE,Archbold Ungrazed Wetland,USA,27.1656,-81.2161
US-AC2,ARM-CRG-Rural,USA,39.4220,-77.2100
US-AC3,ARM-CRG-Bay,USA,38.8380,-76.3700
US-AC5,ARM-CRG-UrbanNW,USA,39.3105,-76.6238
US-AC6,ARM-CRG-UrbanSE,USA,39.3105,-76.6238
US-ACT,Acton Lake Flux Tower Site,USA,39.5820,-84.7550
US-ADR,Amargosa Desert Research Site (ADRS),USA,36.7653,-116.6933
US-AF1,MPG - Apricot Lane Farms,USA,34.3108,-118.9244
US-AKN,Savannah River Site,USA,33.3825,-81.5653
US-ALQ,Allequash Creek Site,USA,46.0308,-89.6067
US-AMS,Argonne Testbed for Multiscale Observational Science (ATMOS),USA,41.7018,-87.9963
US-AN1,Anaktuvuk River Severe Burn,USA,68.9900,-150.2800
US-AN2,Anaktuvuk River Moderate Burn,USA,68.9500,-150.2100
US-AN3,Anaktuvuk River Unburned,USA,68.9300,-150.2700
US-AOL,Low Density Apple Orchard,USA,43.2513,-85.7648
US-AR1,ARM USDA UNL OSU Woodward Switchgrass 1,USA,36.4267,-99.4200
US-AR2,ARM USDA UNL OSU Woodward Switchgrass 2,USA,36.6358,-99.5975
US-ARB,ARM Southern Great Plains burn site- Lamont,USA,35.5497,-98.0402
US-ARC,ARM Southern Great Plains control site- Lamont,USA,35.5465,-98.0400
US-ARM,ARM Southern Great Plains site- Lamont,USA,36.6058,-97.4888
US-ASH,USSL San Joaquin Valley Almond High Salinity,USA,36.1697,-120.2010
US-ASL,USSL San Joaquin Valley Almond Low Salinity,USA,36.9466,-120.1024
US-ASM,USSL San Joaquin Valley Almond Medium Salinity,USA,36.1777,-120.2026
US-ATQ,Atqasuk,USA,70.4696,-157.4089
US-AUD,Audubon Research Ranch,USA,31.5907,-110.5104
US-AV1,Arva AV1,USA,34.4024,-91.6843
US-AV2,Arva AV2,USA,34.4230,-91.6835
US-AV3,Arva AV3,USA,34.4158,-91.6795
US-AV4,Arva AV4,USA,34.4162,-91.6734
US-AV5,Arva AV5,USA,34.4233,-91.6832
US-BAR,Bartlett Experimental Forest,USA,44.0646,-71.2881
US-BCM,Blue Cypress Marsh,USA,27.6953,-80.7114
US-BD4,Burdette Farm Rice Field - 4N,USA,35.8139,-89.9862
US-BD5,Burdette Farm Rice Field - Seagraves South,USA,35.8105,-90.0194
US-BD6,Burdette Farm Rice - Seagraves North,USA,35.8140,-90.0194
US-BDA,Burdette Farm Rice Field - AWD,USA,35.8089,-90.0327
US-BDC,Burdette Farm Rice Field - conventional,USA,35.8089,-90.0284
US-BEO,Barrow Environmental Observatory (BEO) tower,USA,71.2810,-156.6123
US-BES,Barrow-Bes (Biocomplexity Experiment South tower),USA,71.2809,-156.5965
US-BFS,Robert J. Bernard Biological Field Station,USA,34.1131,-117.7118
US-BGC,Big Chico Creek,USA,39.8125,-121.8135
US-BI1,Bouldin Island Alfalfa,USA,38.0992,-121.4993
US-BI2,Bouldin Island corn,USA,38.1091,-121.5351
US-BKG,Brookings,USA,44.3453,-96.8362
US-BLK,Black Hills,USA,44.1580,-103.6500
US-BLO,Blodgett Forest,USA,38.8953,-120.6328
US-BMM,Bangtail Mountain Meadow,USA,45.7830,-110.7776
US-BN1,"Bonanza Creek, 1920 Burn site near Delta Junction",USA,63.9198,-145.3782
US-BN2,"Bonanza Creek, 1987 Burn site near Delta Junction",USA,63.9198,-145.3782
US-BN3,"Bonanza Creek, 1999 Burn site near Delta Junction",USA,63.9227,-145.7442
US-BNF,ARM Bankhead National Forest Site,USA,34.3437,-87.3504
US-BO1,Bondville,USA,40.0062,-88.2904
US-BO2,Bondville (companion site),USA,40.0090,-88.2900
US-BR1,Brooks Field Site 10- Ames,USA,41.9749,-93.6906
US-BR2,Brooks Field Site 1011- Ames,USA,41.9757,-93.6925
US-BR3,Brooks Field Site 11- Ames,USA,41.9747,-93.6936
US-BRG,Bayles Road Grassland Tower,USA,39.2167,-86.5406
US-BRW,Barrow,USA,71.3225,-156.6092
US-BSG,Burns Sagebrush,USA,43.4712,-119.6909
US-BSM,Barnstable Great Marsh,USA,41.7297,-70.3644
US-BWA,INFLUX - NIST Turfgrass Site,USA,39.1389,-77.2175
US-BWB,INFLUX - Montgomery County pasture site,USA,39.1955,-77.4509
US-BWE,Clifton Park Turfgrass,USA,39.3170,-76.5870
US-BZB,Bonanza Creek Thermokarst Bog,USA,64.6955,-148.3208
US-BZF,Bonanza Creek Rich Fen,USA,64.7013,-148.3121
US-BZL,Goldstream Valley Thermokarst Lake,USA,64.9194,-147.8222
US-BZO,Bonanza Creek Old Thermokarst Bog,USA,64.6936,-148.3300
US-BZS,Bonanza Creek Black Spruce,USA,64.6963,-148.3235
US-CAK,Council Alaska Tundra,USA,64.8618,-163.7002
US-CAV,Canaan Valley,USA,39.0633,-79.4208
US-CC1,Coloma Corn 1,USA,44.0732,-89.6787
US-CC2,Coloma Corn 2,USA,44.1039,-89.6196
US-CDM,Cedar Mesa,USA,37.5241,-109.7471
US-CED,Cedar Bridge,USA,39.8379,-74.3791
US-CF1,CAF-LTAR Cook East,USA,46.7815,-117.0821
US-CF2,CAF-LTAR Cook West,USA,46.7840,-117.0908
US-CF3,CAF-LTAR Boyd North,USA,46.7551,-117.1261
US-CF4,CAF-LTAR Boyd South,USA,46.7518,-117.1285
US-CGG,Concord Grazed Grassland,USA,37.9380,-121.9761
US-CHR,Chestnut Ridge,USA,35.9311,-84.3324
US-CLF,Cole Farm,USA,40.6366,-77.9424
US-CLN,Coles Farm North,USA,42.4886,-93.5227
US-CLS,Coles Farm South,USA,42.4826,-93.5249
US-CMS,Central Marsh,USA,71.3202,-156.6223
US-CMW,Charleston Mesquite Woodland,USA,31.6637,-110.1777
US-CN1,Coleman Cattle Farm,USA,38.7466,-94.3967
US-CN2,Parrot Farm,USA,38.7554,-94.3963
US-COP,Corral Pocket,USA,38.0900,-109.3900
US-CPF,Cameron Peak,USA,40.5855,-105.8696
US-CPK,Chimney Park,USA,41.0680,-106.1187
US-CRE,Clark Rice East,USA,35.7635,-90.7730
US-CRK,Davy Crockett National Forest,USA,31.4629,-95.3415
US-CRT,Curtice Walter-Berger cropland,USA,41.6285,-83.3471
US-CRW,Clark Rice West,USA,35.7635,-90.7730
US-CS1,Central Sands Irrigated Agricultural Field,USA,44.1031,-89.5379
US-CS2,Tri county school Pine Forest,USA,44.1467,-89.5002
US-CS3,Central Sands Irrigated Agricultural Field,USA,44.1394,-89.5727
