site_id,vegetation_type,metadata_source
US-HB3,ENF,ameriflux_site_search
US-HB4,WET,ameriflux_site_search
US-HB5,ENF,ameriflux_site_search
US-HB6,ENF,ameriflux_site_search
US-HB7,WET,ameriflux_site_search
US-HBA,CRO,ameriflux_site_search
US-HBB,CRO,ameriflux_site_search
US-HBK,DBF,ameriflux_site_search
US-HN1,OSH,ameriflux_site_search
US-HN2,GRA,ameriflux_site_search
US-HN3,OSH,ameriflux_site_search
US-HO1,ENF,ameriflux_site_search
US-HO2,ENF,ameriflux_site_search
US-HO3,ENF,ameriflux_site_search
US-HPY,WET,ameriflux_site_search
US-HRA,CRO,ameriflux_site_search
US-HRC,CRO,ameriflux_site_search
US-HRN,CRO,ameriflux_site_search
US-HRO,WET,ameriflux_site_search
US-HRP,WET,ameriflux_site_search
US-HRS,CRO,ameriflux_site_search
US-HSM,WET,ameriflux_site_search
US-HVA,WET,ameriflux_site_search
US-HVS,WET,ameriflux_site_search
US-HWB,CVM,ameriflux_site_search
US-IAA,CRO,ameriflux_site_search
US-IAB,CRO,ameriflux_site_search
US-IAC,CRO,ameriflux_site_search
US-IAM,CRO,ameriflux_site_search
US-IB1,CRO,ameriflux_site_search
US-IB2,GRA,ameriflux_site_search
US-ICH,OSH,ameriflux_site_search
US-ICS,WET,ameriflux_site_search
US-ICT,OSH,ameriflux_site_search
US-IL1,GRA,ameriflux_site_search
US-INA,URB,ameriflux_site_search
US-INB,URB,ameriflux_site_search
US-INC,URB,ameriflux_site_search
US-IND,CRO,ameriflux_site_search
US-INE,CRO,ameriflux_site_search
US-INF,URB,ameriflux_site_search
US-ING,URB,ameriflux_site_search
US-INI,CRO,ameriflux_site_search
US-INJ,CRO,ameriflux_site_search
US-INN,CRO,ameriflux_site_search
US-INP,CRO,ameriflux_site_search
US-IS1,CRO,ameriflux_site_search
US-IS2,CRO,ameriflux_site_search
US-IS3,CRO,ameriflux_site_search
US-IVO,WET,ameriflux_site_search
US-JFM,ENF,ameriflux_site_search
US-JFP,ENF,ameriflux_site_search
US-JLN,WET,ameriflux_site_search
US-JLR,WET,ameriflux_site_search
US-JO1,OSH,ameriflux_site_search
US-JO2,OSH,ameriflux_site_search
US-JO3,BSV,ameriflux_site_search
US-JRN,GRA,ameriflux_site_search
US-JXG,OSH,ameriflux_site_search
US-JXN,OSH,ameriflux_site_search
US-JXS,OSH,ameriflux_site_search
US-KCM,CRO,ameriflux_site_search
US-KEY,CRO,ameriflux_site_search
US-KFB,GRA,ameriflux_site_search
US-KFS,GRA,ameriflux_site_search
US-KGF,GRA,ameriflux_site_search
US-KL1,CRO,ameriflux_site_search
US-KL2,GRA,ameriflux_site_search
US-KL3,GRA,ameriflux_site_search
US-KLS,GRA,ameriflux_site_search
US-KM1,CRO,ameriflux_site_search
US-KM2,GRA,ameriflux_site_search
US-KM3,GRA,ameriflux_site_search
US-KM4,GRA,ameriflux_site_search
US-KON,GRA,ameriflux_site_search
US-KPL,WET,ameriflux_site_search
US-KS1,ENF,ameriflux_site_search
US-KS2,CSH,ameriflux_site_search
US-KS3,WET,ameriflux_site_search
US-KS4,WET,ameriflux_site_search
US-KSA,GRA,ameriflux_site_search
US-KSC,CRO,ameriflux_site_search
US-KSP,CRO,ameriflux_site_search
US-KUO,URB,ameriflux_site_search
US-KUT,GRA,ameriflux_site_search
US-KYV,CRO,ameriflux_site_search
US-LA1,WET,ameriflux_site_search
US-LA2,WET,ameriflux_site_search
US-LA3,WET,ameriflux_site_search
US-LCW,WET,ameriflux_site_search
US-LGR,GRA,ameriflux_site_search
US-LIN,CRO,ameriflux_site_search
US-LL1,SAV,ameriflux_site_search
US-LL2,SAV,ameriflux_site_search
US-LL3,SAV,ameriflux_site_search
US-LMA,CRO,ameriflux_site_search
US-LMB,CRO,ameriflux_site_search
US-LMS,CRO,ameriflux_site_search
US-LMW,CRO,ameriflux_site_search
US-LOS,WET,ameriflux_site_search
US-LPH,DBF,ameriflux_site_search
US-LS1,GRA,ameriflux_site_search
US-LS2,SAV,ameriflux_site_search
US-LU1,CVM,ameriflux_site_search
US-LWW,GRA,ameriflux_site_search
US-MAC,WET,ameriflux_site_search
US-MBP,WET,ameriflux_site_search
US-MC1,CRO,ameriflux_site_search
US-MC2,CRO,ameriflux_site_search
US-MCP,WET,ameriflux_site_search
US-ME1,ENF,ameriflux_site_search
US-ME2,ENF,ameriflux_site_search
US-ME3,ENF,ameriflux_site_search
US-ME4,ENF,ameriflux_site_search
US-ME5,ENF,ameriflux_site_search
US-ME6,ENF,ameriflux_site_search
US-ME7,ENF,ameriflux_site_search
US-MEF,ENF,ameriflux_site_search
US-MEN,WAT,ameriflux_site_search
US-MFS,CRO,ameriflux_site_search
US-MG1,GRA,ameriflux_site_search
US-MH1,CRO,ameriflux_site_search
US-MH2,CRO,ameriflux_site_search
US-MI1,CVM,ameriflux_site_search
US-MI2,CVM,ameriflux_site_search
US-MI3,CVM,ameriflux_site_search
US-MJ1,CRO,ameriflux_site_search
US-MJ2,CRO,ameriflux_site_search
US-MKG,OSH,ameriflux_site_search
US-MKH,GRA,ameriflux_site_search
US-MKN,OSH,ameriflux_site_search
US-MMS,DBF,ameriflux_site_search
US-MN1,CRO,ameriflux_site_search
US-MN2,CRO,ameriflux_site_search
US-MN3,CRO,ameriflux_site_search
US-MO1,CRO,ameriflux_site_search
US-MO2,GRA,ameriflux_site_search
US-MO3,CRO,ameriflux_site_search
US-MOZ,DBF,ameriflux_site_search
US-MPJ,WSA,ameriflux_site_search
US-MRF,ENF,ameriflux_site_search
US-MRM,WET,ameriflux_site_search
US-MSR,CRO,ameriflux_site_search
US-MTB,ENF,ameriflux_site_search
US-MUR,WET,ameriflux_site_search
US-MVF,CRO,ameriflux_site_search
US-MVW,CRO,ameriflux_site_search
US-MWA,CRO,ameriflux_site_search
US-MWF,MF,ameriflux_site_search
US-MWS,URB,ameriflux_site_search
US-MWU,URB,ameriflux_site_search
US-MWW,WET,ameriflux_site_search
US-MYB,WET,ameriflux_site_search
US-MZA,WET,ameriflux_site_search
US-NC1,ENF,ameriflux_site_search
US-NC2,ENF,ameriflux_site_search
US-NC3,ENF,ameriflux_site_search
US-NC4,WET,ameriflux_site_search
US-NC5,ENF,ameriflux_site_search
US-NE1,CRO,ameriflux_site_search
US-NE2,CRO,ameriflux_site_search
US-NE3,CRO,ameriflux_site_search
US-NGB,SNO,ameriflux_site_search
US-NGC,GRA,ameriflux_site_search
US-NMJ,ENF,ameriflux_site_search
US-NP1,CRO,ameriflux_site_search
US-NP2,CRO,ameriflux_site_search
US-NR1,ENF,ameriflux_site_search
US-NR2,ENF,ameriflux_site_search
US-NR3,GRA,ameriflux_site_search
US-NR4,GRA,ameriflux_site_search
US-NRF,WET,ameriflux_site_search
US-NRS,WET,ameriflux_site_search
US-NSA,CRO,ameriflux_site_search
US-NSB,CRO,ameriflux_site_search
US-NSW,GRA,ameriflux_site_search
US-OF1,CRO,ameriflux_site_search
US-OF2,CRO,ameriflux_site_search
US-OHO,DBF,ameriflux_site_search
US-OK1,CRO,ameriflux_site_search
US-OK2,CRO,ameriflux_site_search
US-ONA,GRA,ameriflux_site_search
US-OPE,CRO,ameriflux_site_search
US-ORV,WET,ameriflux_site_search
US-OWC,WET,ameriflux_site_search
US-PAS,GRA,ameriflux_site_search
US-PEA,DBF,ameriflux_site_search
US-PFA,MF,ameriflux_site_search
US-PFB,ENF,ameriflux_site_search
US-PFC,DBF,ameriflux_site_search
US-PFD,WET,ameriflux_site_search
US-PFE,WAT,ameriflux_site_search
US-PFF,GRA,ameriflux_site_search
US-PFG,ENF,ameriflux_site_search
US-PFH,ENF,ameriflux_site_search
US-PFI,DBF,ameriflux_site_search
US-PFJ,DBF,ameriflux_site_search
US-PFK,DBF,ameriflux_site_search
US-PFL,DBF,ameriflux_site_search
US-PFM,DBF,ameriflux_site_search
US-PFN,DBF,ameriflux_site_search
US-PFO,WAT,ameriflux_site_search
US-PFP,DBF,ameriflux_site_search
US-PFQ,DBF,ameriflux_site_search
US-PFR,WET,ameriflux_site_search
US-PFS,DBF,ameriflux_site_search
US-PFT,ENF,ameriflux_site_search
US-PHM,WET,ameriflux_site_search
US-PIU,WET,ameriflux_site_search
US-PLM,WET,ameriflux_site_search
US-PLO,WET,ameriflux_site_search
US-PNP,WAT,ameriflux_site_search
US-PON,CRO,ameriflux_site_search
US-PRR,ENF,ameriflux_site_search
US-PSH,DBF,ameriflux_site_search
US-PSL,DBF,ameriflux_site_search
US-PVA,CRO,ameriflux_site_search
US-PX1,URB,ameriflux_site_search
US-PX2,GRA,ameriflux_site_search
US-PX3,BSV,ameriflux_site_search
US-PX4,URB,ameriflux_site_search
US-PX5,URB,ameriflux_site_search
US-RC1,CRO,ameriflux_site_search
US-RC2,CRO,ameriflux_site_search
US-RC3,CRO,ameriflux_site_search
US-RC4,CRO,ameriflux_site_search
US-RC5,CRO,ameriflux_site_search
US-RFE,GRA,ameriflux_site_search
US-RFW,GRA,ameriflux_site_search
US-RGA,CRO,ameriflux_site_search
US-RGB,CRO,ameriflux_site_search
US-RGF,CRO,ameriflux_site_search
US-RGG,CRO,ameriflux_site_search
US-RGO,CRO,ameriflux_site_search
US-RGR,CRO,ameriflux_site_search
US-RGW,CRO,ameriflux_site_search
US-RLS,CSH,ameriflux_site_search
US-RMS,CSH,ameriflux_site_search
US-RO1,CRO,ameriflux_site_search
US-RO2,CRO,ameriflux_site_search
US-RO3,CRO,ameriflux_site_search
US-RO4,GRA,ameriflux_site_search
US-RO5,CRO,ameriflux_site_search
US-RO6,CRO,ameriflux_site_search
US-RPF,DBF,ameriflux_site_search
US-RRC,WET,ameriflux_site_search
US-RTS,GRA,ameriflux_site_search
US-RWE,CSH,ameriflux_site_search
US-RWF,CSH,ameriflux_site_search
US-RWS,OSH,ameriflux_site_search
US-SAG,WET,ameriflux_site_search
US-SB1,ENF,ameriflux_site_search
US-SB2,CRO,ameriflux_site_search
US-SB3,ENF,ameriflux_site_search
US-SBR,WET,ameriflux_site_search
US-SCC,OSH,ameriflux_site_search
US-SCD,BSV,ameriflux_site_search
US-SCF,MF,ameriflux_site_search
US-SCG,GRA,ameriflux_site_search
US-SCS,OSH,ameriflux_site_search
US-SCW,OSH,ameriflux_site_search
US-SD1,CRO,ameriflux_site_search
US-SD2,CRO,ameriflux_site_search
US-SDH,GRA,ameriflux_site_search
US-SDU,URB,ameriflux_site_search
US-SEG,GRA,ameriflux_site_search
US-SES,OSH,ameriflux_site_search
US-SFP,CRO,ameriflux_site_search
US-SHC,ENF,ameriflux_site_search
US-SHD,GRA,ameriflux_site_search
US-SHS,WET,ameriflux_site_search
US-SI1,CRO,ameriflux_site_search
US-SI2,CRO,ameriflux_site_search
US-SJ1,WET,ameriflux_site_search
US-SJ2,WET,ameriflux_site_search
US-SKR,EBF,ameriflux_site_search
US-SLT,DBF,ameriflux_site_search
US-SM1,CRO,ameriflux_site_search
US-SND,GRA,ameriflux_site_search
US-SNE,GRA,ameriflux_site_search
US-SNF,GRA,ameriflux_site_search
US-SO2,CSH,ameriflux_site_search
US-SO3,CSH,ameriflux_site_search
US-SO4,CSH,ameriflux_site_search
US-SP1,ENF,ameriflux_site_search
US-SP2,ENF,ameriflux_site_search
US-SP3,ENF,ameriflux_site_search
US-SP4,ENF,ameriflux_site_search
US-SRC,OSH,ameriflux_site_search
US-SRG,GRA,ameriflux_site_search
US-SRM,WSA,ameriflux_site_search
US-SRR,WET,ameriflux_site_search
US-SRS,WSA,ameriflux_site_search
US-SSH,DBF,ameriflux_site_search
US-STA,OSH,ameriflux_site_search
US-STJ,WET,ameriflux_site_search
US-STS,WET,ameriflux_site_search
US-SUM,CRO,ameriflux_site_search
US-SUS,CRO,ameriflux_site_search
US-SUW,CRO,ameriflux_site_search
US-SVC,WSA,ameriflux_site_search
US-SVP,WSA,ameriflux_site_search
US-SX1,SAV,ameriflux_site_search
US-SX2,ENF,ameriflux_site_search
US-SX3,MF,ameriflux_site_search
US-SYV,MF,ameriflux_site_search
US-SZ1,CRO,ameriflux_site_search
US-SZ2,CRO,ameriflux_site_search
US-SZ3,CRO,ameriflux_site_search
US-TAS,WET,ameriflux_site_search
US-TCS,WET,ameriflux_site_search
US-TEF,ENF,ameriflux_site_search
US-TFF,MF,ameriflux_site_search
US-TKS,CSH,ameriflux_site_search
US-TLR,MF,ameriflux_site_search
US-TON,WSA,ameriflux_site_search
US-TRB,WAT,ameriflux_site_search
US-TRS,WAT,ameriflux_site_search
US-TSM,WET,ameriflux_site_search
US-TUR,GRA,ameriflux_site_search
US-TW1,WET,ameriflux_site_search
US-TW2,CRO,ameriflux_site_search
US-TW3,CRO,ameriflux_site_search
US-TW4,WET,ameriflux_site_search
US-TW5,WET,ameriflux_site_search
US-TWT,CRO,ameriflux_site_search
US-TX1,GRA,ameriflux_site_search
US-TX2,GRA,ameriflux_site_search
US-TX3,CRO,ameriflux_site_search
US-TX4,CRO,ameriflux_site_search
US-TX5,CVM,ameriflux_site_search
US-TX6,GRA,ameriflux_site_search
US-TX7,CSH,ameriflux_site_search
US-TX8,DBF,ameriflux_site_search
US-TX9,WET,ameriflux_site_search
US-UAF,ENF,ameriflux_site_search
US-UC1,CVM,ameriflux_site_search
US-UC2,CVM,ameriflux_site_search
US-UG1,OSH,ameriflux_site_search
US-UIA,CRO,ameriflux_site_search
US-UIB,CRO,ameriflux_site_search
US-UIC,CRO,ameriflux_site_search
US-UID,GRA,ameriflux_site_search
US-UIE,CRO,ameriflux_site_search
US-UIF,CRO,ameriflux_site_search
US-UIG,CRO,ameriflux_site_search
US-ULM,DBF,ameriflux_site_search
US-UM3,WAT,ameriflux_site_search
US-UMB,DBF,ameriflux_site_search
US-UMD,DBF,ameriflux_site_search
US-UPA,WET,ameriflux_site_search
US-UR0,GRA,ameriflux_site_search
US-UR1,GRA,ameriflux_site_search
US-UR2,GRA,ameriflux_site_search
US-UR3,GRA,ameriflux_site_search
US-UR4,GRA,ameriflux_site_search
US-UR5,CRO,ameriflux_site_search
US-UR6,CRO,ameriflux_site_search
US-UR7,GRA,ameriflux_site_search
US-UR8,CRO,ameriflux_site_search
US-UR9,CRO,ameriflux_site_search
US-UTB,BSV,ameriflux_site_search
US-UTD,CRO,ameriflux_site_search
US-UTE,CRO,ameriflux_site_search
US-UTG,CRO,ameriflux_site_search
US-UTJ,CRO,ameriflux_site_search
US-UTL,CRO,ameriflux_site_search
US-UTM,WET,ameriflux_site_search
US-UTN,CRO,ameriflux_site_search
US-UTP,WET,ameriflux_site_search
US-UTV,CRO,ameriflux_site_search
US-UTW,CRO,ameriflux_site_search
US-UUC,WAT,ameriflux_site_search
US-UUP,BSV,ameriflux_site_search
US-VAR,GRA,ameriflux_site_search
US-VCM,ENF,ameriflux_site_search
US-VCP,ENF,ameriflux_site_search
US-VCS,ENF,ameriflux_site_search
US-VFP,WET,ameriflux_site_search
US-VT1,CRO,ameriflux_site_search
US-VT2,CRO,ameriflux_site_search
US-WBW,DBF,ameriflux_site_search
US-WCR,DBF,ameriflux_site_search
US-WDN,OSH,ameriflux_site_search
US-WEP,URB,ameriflux_site_search
US-WGR,CRO,ameriflux_site_search
US-WHS,OSH,ameriflux_site_search
US-WI0,ENF,ameriflux_site_search
US-WI1,DBF,ameriflux_site_search
US-WI2,ENF,ameriflux_site_search
US-WI3,DBF,ameriflux_site_search
US-WI4,ENF,ameriflux_site_search
US-WI5,ENF,ameriflux_site_search
US-WI6,OSH,ameriflux_site_search
US-WI7,OSH,ameriflux_site_search
US-WI8,DBF,ameriflux_site_search
US-WI9,ENF,ameriflux_site_search
US-WJS,SAV,ameriflux_site_search
US-WKG,GRA,ameriflux_site_search
US-WLR,GRA,ameriflux_site_search
US-WPP,DBF,ameriflux_site_search
US-WPT,WET,ameriflux_site_search
US-WRC,ENF,ameriflux_site_search
US-WT1,CRO,ameriflux_site_search
US-WT2,GRA,ameriflux_site_search
US-WT3,GRA,ameriflux_site_search
US-WWT,CRO,ameriflux_site_search
US-XAB,ENF,ameriflux_site_search
US-XAE,GRA,ameriflux_site_search
US-XBA,WET,ameriflux_site_search
US-XBL,DBF,ameriflux_site_search
US-XBN,ENF,ameriflux_site_search
US-XBR,DBF,ameriflux_site_search
US-XCL,GRA,ameriflux_site_search
US-XCP,GRA,ameriflux_site_search
US-XDC,GRA,ameriflux_site_search
US-XDJ,ENF,ameriflux_site_search
US-XDL,MF,ameriflux_site_search
US-XDS,CVM,ameriflux_site_search
US-XGR,DBF,ameriflux_site_search
US-XHA,DBF,ameriflux_site_search
US-XHE,OSH,ameriflux_site_search
US-XJE,ENF,ameriflux_site_search
US-XJR,OSH,ameriflux_site_search
US-XKA,GRA,ameriflux_site_search
US-XKZ,GRA,ameriflux_site_search
US-XLE,DBF,ameriflux_site_search
US-XMB,OSH,ameriflux_site_search
US-XML,DBF,ameriflux_site_search
US-XNG,GRA,ameriflux_site_search
US-XNQ,OSH,ameriflux_site_search
US-XNW,ENF,ameriflux_site_search
US-XPU,EBF,ameriflux_site_search
US-XRM,ENF,ameriflux_site_search
US-XRN,DBF,ameriflux_site_search
US-XSB,ENF,ameriflux_site_search
US-XSC,DBF,ameriflux_site_search
US-XSE,DBF,ameriflux_site_search
US-XSJ,SAV,ameriflux_site_search
US-XSL,CRO,ameriflux_site_search
US-XSP,ENF,ameriflux_site_search
US-XSR,OSH,ameriflux_site_search
US-XST,DBF,ameriflux_site_search
US-XTA,ENF,ameriflux_site_search
US-XTE,ENF,ameriflux_site_search
US-XTL,WET,ameriflux_site_search
US-XTR,DBF,ameriflux_site_search
US-XUK,DBF,ameriflux_site_search
US-XUN,MF,ameriflux_site_search
US-XWD,GRA,ameriflux_site_search
US-XWR,ENF,ameriflux_site_search
US-XYE,ENF,ameriflux_site_search
US-YK1,WET,ameriflux_site_search
US-YK2,WET,ameriflux_site_search
US-YLW,URB,ameriflux_site_search
US-YNS,GRA,ameriflux_site_search
US-ZF1,CRO,ameriflux_site_search
US-ZF2,CRO,ameriflux_site_search
ZA-KRU,SAV,fluxnet_siteinfo
ZM-MON,DBF,fluxnet_siteinfo
